id,isValid,raingage,SID,date,validRaingege
359,1,5.511789322,6000,7/5/17 5:32,5.511789322
360,1,5.551159382,6000,7/5/17 14:04,5.551159382
361,1,5.590528965,6000,7/5/17 14:21,5.590528965
362,1,5.629899025,6000,7/5/17 16:30,5.629899025
363,1,5.629899025,6000,7/5/17 17:30,5.629899025
364,0,40.11795044,6000,7/5/17 19:43,0
365,1,5.669269085,6000,7/5/17 19:47,5.669269085
366,1,5.708639145,6000,7/5/17 20:02,5.708639145
367,1,5.748008728,6000,7/5/17 20:22,5.748008728
368,1,5.787378788,6000,7/5/17 21:37,5.787378788
369,1,5.787378788,6000,7/6/17 5:28,5.787378788
370,0,71.49578094,6000,7/6/17 16:46,0
371,1,5.787378788,6000,7/6/17 17:26,5.787378788
372,1,5.787378788,6000,7/7/17 5:24,5.787378788
373,1,5.826748848,6000,7/7/17 8:39,5.826748848
374,1,5.866118431,6000,7/7/17 8:45,5.866118431
375,1,5.905488491,6000,7/7/17 9:00,5.905488491
376,1,5.905488491,6000,7/7/17 17:22,5.905488491
377,1,5.905488491,6000,7/8/17 5:20,5.905488491
378,0,69.96035767,6000,7/8/17 15:05,0
379,1,5.905488491,6000,7/8/17 17:18,5.905488491
380,1,5.905488491,6000,7/9/17 5:16,5.905488491
381,1,5.905488491,6000,7/9/17 17:14,5.905488491
382,1,5.905488491,6000,7/10/17 5:12,5.905488491
383,1,5.905488491,6000,7/10/17 17:10,5.905488491
384,0,34.01561356,6000,7/10/17 22:19,0
385,1,5.905488491,6000,7/11/17 5:08,5.905488491
386,1,5.905488491,6000,7/11/17 17:05,5.905488491
387,1,5.905488491,6000,7/12/17 5:03,5.905488491
388,1,5.905488491,6000,7/12/17 17:01,5.905488491
389,1,5.905488491,6000,7/13/17 4:59,5.905488491
390,1,5.905488491,6000,7/13/17 16:57,5.905488491
391,1,5.905488491,6000,7/14/17 4:55,5.905488491
392,1,5.905488491,6000,7/14/17 16:53,5.905488491
393,1,5.905488491,6000,7/15/17 4:51,5.905488491
394,0,41.02346039,6000,7/15/17 13:07,0
395,1,5.905488491,6000,7/15/17 16:49,5.905488491
396,1,5.905488491,6000,7/16/17 4:47,5.905488491
397,1,5.905488491,6000,7/16/17 16:45,5.905488491
398,1,5.905488491,6000,7/17/17 4:43,5.905488491
399,1,0.314959377,6000,6/23/17 6:21,0.314959377
400,1,0.314959377,6000,6/23/17 18:19,0.314959377
401,1,0.354329318,6000,6/23/17 20:00,0.354329318
402,1,0.393699229,6000,6/23/17 20:02,0.393699229
403,1,0.43306917,6000,6/23/17 20:04,0.43306917
404,1,0.47243908,6000,6/23/17 20:09,0.47243908
405,1,0.511808991,6000,6/23/17 20:11,0.511808991
406,1,0.551178932,6000,6/23/17 20:13,0.551178932
407,1,0.590548873,6000,6/23/17 20:14,0.590548873
408,1,0.629918754,6000,6/23/17 20:14,0.629918754
409,1,0.669288695,6000,6/23/17 20:15,0.669288695
410,1,0.708658636,6000,6/23/17 20:15,0.708658636
411,1,0.748028576,6000,6/23/17 20:16,0.748028576
412,1,0.787398458,6000,6/23/17 20:18,0.787398458
413,1,0.826768398,6000,6/23/17 20:20,0.826768398
414,1,0.866138339,6000,6/23/17 20:22,0.866138339
415,1,0.90550822,6000,6/23/17 20:24,0.90550822
416,1,0.944878161,6000,6/23/17 20:24,0.944878161
417,1,0.984248102,6000,6/23/17 20:25,0.984248102
418,1,1.023617983,6000,6/23/17 20:26,1.023617983
419,1,1.062987924,6000,6/23/17 20:27,1.062987924
420,1,1.102357864,6000,6/23/17 20:28,1.102357864
421,1,1.141727805,6000,6/23/17 20:28,1.141727805
422,1,1.181097746,6000,6/23/17 20:29,1.181097746
423,1,1.220467687,6000,6/23/17 20:30,1.220467687
424,1,1.259837508,6000,6/23/17 20:31,1.259837508
425,1,1.299207449,6000,6/23/17 20:32,1.299207449
426,1,1.33857739,6000,6/23/17 20:33,1.33857739
427,1,1.37794733,6000,6/23/17 20:33,1.37794733
428,1,1.417317271,6000,6/23/17 20:34,1.417317271
429,1,1.456687212,6000,6/23/17 20:35,1.456687212
430,1,1.496057153,6000,6/23/17 20:35,1.496057153
431,1,1.535426974,6000,6/23/17 20:36,1.535426974
432,1,1.574796915,6000,6/23/17 20:37,1.574796915
433,1,1.614166856,6000,6/23/17 20:38,1.614166856
434,1,1.653536797,6000,6/23/17 20:39,1.653536797
435,1,1.692906737,6000,6/23/17 20:40,1.692906737
436,1,1.732276678,6000,6/23/17 20:41,1.732276678
437,1,1.771646619,6000,6/23/17 20:41,1.771646619
438,1,1.81101644,6000,6/23/17 20:42,1.81101644
439,1,1.850386381,6000,6/23/17 20:42,1.850386381
440,1,1.889756322,6000,6/23/17 20:43,1.889756322
441,1,1.929126263,6000,6/23/17 20:44,1.929126263
442,1,1.968496203,6000,6/23/17 20:45,1.968496203
443,1,2.007866144,6000,6/23/17 20:46,2.007866144
444,1,2.047235966,6000,6/23/17 20:48,2.047235966
445,1,2.086606026,6000,6/23/17 20:50,2.086606026
446,1,2.125975847,6000,6/23/17 20:52,2.125975847
447,1,2.165345907,6000,6/23/17 20:53,2.165345907
448,1,2.204715729,6000,6/23/17 20:55,2.204715729
449,1,2.24408555,6000,6/23/17 20:58,2.24408555
450,1,2.28345561,6000,6/23/17 21:03,2.28345561
451,1,2.322825432,6000,6/23/17 21:08,2.322825432
452,1,2.362195492,6000,6/23/17 21:14,2.362195492
453,1,2.401565313,6000,6/24/17 1:41,2.401565313
454,1,2.440935373,6000,6/24/17 1:44,2.440935373
455,1,2.480305195,6000,6/24/17 1:45,2.480305195
456,1,2.519675016,6000,6/24/17 1:47,2.519675016
457,1,2.559045076,6000,6/24/17 1:47,2.559045076
458,1,2.598414898,6000,6/24/17 1:48,2.598414898
459,1,2.637784958,6000,6/24/17 1:49,2.637784958
460,1,2.677154779,6000,6/24/17 1:49,2.677154779
461,1,2.716524839,6000,6/24/17 1:50,2.716524839
462,1,2.755894661,6000,6/24/17 1:50,2.755894661
463,1,2.795264482,6000,6/24/17 1:50,2.795264482
464,1,2.834634542,6000,6/24/17 1:51,2.834634542
465,1,2.874004364,6000,6/24/17 1:52,2.874004364
466,1,2.913374424,6000,6/24/17 1:52,2.913374424
467,1,2.952744246,6000,6/24/17 1:53,2.952744246
468,1,2.992114305,6000,6/24/17 1:54,2.992114305
469,1,3.031484127,6000,6/24/17 1:55,3.031484127
470,1,3.070853949,6000,6/24/17 1:55,3.070853949
471,1,3.110224009,6000,6/24/17 1:56,3.110224009
472,1,3.14959383,6000,6/24/17 1:56,3.14959383
473,1,3.18896389,6000,6/24/17 1:57,3.18896389
474,1,3.228333712,6000,6/24/17 1:57,3.228333712
475,1,3.267703772,6000,6/24/17 1:58,3.267703772
476,1,3.307073593,6000,6/24/17 1:59,3.307073593
477,1,3.346443415,6000,6/24/17 1:59,3.346443415
478,1,3.385813475,6000,6/24/17 2:00,3.385813475
479,1,3.425183296,6000,6/24/17 2:01,3.425183296
480,1,3.464553356,6000,6/24/17 2:02,3.464553356
481,1,3.503923178,6000,6/24/17 2:03,3.503923178
